month,HEAD,total_pkr,month_expense_total_pkr,total_revenue_pkr,pct_of_expenses,pct_of_revenue
2025-08,Irrigation Expenses,17000.0,18919241.5,45981892.0,0.08985561075479691,0.03697107548336637
2025-08,Repair & Renovation HO,17000.0,18919241.5,45981892.0,0.08985561075479691,0.03697107548336637
2025-08,Vehicle R&M Repair 6677 Sohail Sb,17000.0,18919241.5,45981892.0,0.08985561075479691,0.03697107548336637
2025-08,Social Security,16800.0,18919241.5,45981892.0,0.08879848592238752,0.036536121654150294
2025-08,Vehicle Repair 6793 Aslam Shakir,16660.0,18919241.5,45981892.0,0.08805849853970096,0.03623165397369904
2025-08,Freight & Octroi,16000.0,18919241.5,45981892.0,0.08456998659275003,0.03479630633728599
2025-08,Labour charges-Okra,15353.0,18919241.5,45981892.0,0.0811501877599057,0.03338923069977199
2025-08,Misc.Expenses,15280.0,18919241.5,45981892.0,0.08076433719607629,0.03323047255210812
2025-08,R&M Generator (HO),14255.0,18919241.5,45981892.0,0.07534657242997823,0.03100133417737574
2025-08,Vehicle POL 2995 Aslam Sb.,13906.0,18919241.5,45981892.0,0.07350188959742388,0.030242339745393684
2025-08,Ploughing Exp Paddy,13000.0,18919241.5,45981892.0,0.06871311410660941,0.02827199889904487
2025-08,Vehicle R&M POL 371 (FRK),13000.0,18919241.5,45981892.0,0.06871311410660941,0.02827199889904487
2025-08,Freight & Oct. General,12350.0,18919241.5,45981892.0,0.06527745840127892,0.026858398954092623
2025-08,Vehicle POL KWK-20-7778 Khaliq Dad,12100.0,18919241.5,45981892.0,0.06395605236076722,0.026314706667572532
2025-08,Vehicle POL KWM-2868 Nazar Ali,12000.0,18919241.5,45981892.0,0.06342748994456253,0.02609722975296449
2025-08,Ploughing Expenses.,11466.0,18919241.5,45981892.0,0.060604966642029495,0.024935903028957575
2025-08,Travelling & Conveyance Others,10980.0,18919241.5,45981892.0,0.05803615329927471,0.023878965223962514
2025-08,Entertainment (H.O),10850.0,18919241.5,45981892.0,0.05734902215820862,0.023596245234972064
2025-08,Vehicle POL KWM-19-3348 Zain Ul Abi,10830.0,18919241.5,45981892.0,0.05724330967496768,0.023552749852050456
2025-08,Legal & Professional Charges,10440.0,18919241.5,45981892.0,0.05518191625176939,0.02270458988507911
2025-08,Vehicle R&M Repair 418(Akhtar),10100.0,18919241.5,45981892.0,0.05338480403667346,0.02196516837541178
2025-08,Social security-staff,9600.0,18919241.5,45981892.0,0.050741991955650025,0.020877783802371597
2025-08,Discount-on delinted of cottonseed,9500.0,18919241.5,45981892.0,0.05021342953944534,0.020660306887763557
2025-08,Vehicle POL KWM-17-4525 Haider Abba,9500.0,18919241.5,45981892.0,0.05021342953944534,0.020660306887763557
2025-08,Vehicle R&M Repair 118,8250.0,18919241.5,45981892.0,0.04360639933688674,0.01794184545516309
2025-08,Vehicle RepairKWK-20-7778 Khaliq Da,7940.0,18919241.5,45981892.0,0.041967855846652205,0.017267667019878172
